Item Name,Is Returnable Item,Brand,Manufacturer,Description,Rate,Package Weight,Package Length,Package Height,Package Width,Dimension Unit,Weight Unit,Is Combo Product,Vendor,Purchase Rate
INSERT - 8 Product Floating Shelf (Walnut Finish) - QTY 2+,false,,,,USD 685.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 457.00
INSERT - 8 Product Floating Shelf (Laminate) - QTY 1,false,,,,USD 685.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 490.00
INSERT - 8 Product Floating Shelf (Laminate) - QTY 2+,false,,,,USD 640.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 457.00
GC-AC4 // Pick & Place table with metal legs,false,,,,USD 4210.00,1.00,1.00,1.00,1.00,in,lb,false,,USD 0.00
GC-F3 // Lift + Learn table w/ 2 Flower Displays,false,,,,USD 6330.00,1.00,1.00,1.00,1.00,in,lb,false,,USD 0.00
GC-AC3 // Table-top Pick & Place display,false,,,,USD 3300.00,1.00,1.00,1.00,1.00,in,lb,false,,USD 0.00
GC-AC2 // Wall-mounted Pick & Place display w/ back panel,false,,,,USD 2615.00,1.00,1.00,1.00,1.00,in,lb,false,,USD 0.00
GC-AC1 // Floating wall-mounted Pick & Place display,false,,,,USD 2900.00,1.00,1.00,1.00,1.00,in,lb,false,,USD 0.00
GC-F2 // Table-top Flower Display w/ 10 Featured Products,false,,,,USD 3480.00,1.00,1.00,1.00,1.00,in,lb,false,,USD 0.00
"22"" Quick Checkout Stations",false,,,,USD 860.00,1.00,1.00,1.00,1.00,in,lb,false,,USD 0.00
Counter-top flower display with 8 featured products-White Acrylic,false,,,,USD 2150.00,1.00,1.00,1.00,1.00,in,lb,false,,USD 0.00
Counter-top flower display with 16 featured products-White Acrylic,false,,,,USD 3435.00,1.00,1.00,1.00,1.00,in,lb,false,,USD 0.00
Counter-top flower display with 16 featured products-Black Acrylic,false,,,,USD 3435.00,0.00,0.00,0.00,0.00,,,false,,USD 0.00
Counter-top flower display with 16 featured products-Wood,false,,,,USD 3625.00,0.00,0.00,0.00,0.00,,,false,,USD 0.00
Counter-top flower display with 8 featured products-Black Acrylic,false,,,,USD 2150.00,0.00,0.00,0.00,0.00,,,false,,USD 0.00
Counter-top flower display with 8 featured products-Wood,false,,,,USD 2225.00,0.00,0.00,0.00,0.00,,,false,,USD 0.00
GC-AC5 // Pick & Place table w/ 2 Shopping Displays,false,,,,USD 5215.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 0.00
GC-F1 // Flower table podium w/ 8 products-Topper only,false,,,,USD 1300.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 0.00
GC-F1 // Flower table podium w/ 8 products-W/ metal stand and 1 wooden shelf,false,,,,USD 1995.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 0.00
"TouchWo - 43"" Touch Screen",false,,,,USD 1000.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 650.00
"NH - 22"" Lift + Learn - 10 SKU",false,,,"'- 22"" display
- 1 NFC reader w/ 10 featured products
- Misc. electronic components",USD 1385.00,0.00,0.00,0.00,0.00,in,lb,true,,USD 922.82
"NH - 22"" Pick & Place -- 24 SKU",false,,,"'- 22"" display
- 1 NFC reader w/ 24 featured products
- Misc. electronic components",USD 840.00,0.00,0.00,0.00,0.00,in,lb,true,,USD 526.54
"NH - 22"" Lift + Learn - 8 SKU",true,,,"'- 22"" display
- 1 NFC reader w/ 8 featured products
- Misc. electronic components",USD 1235.00,0.00,0.00,0.00,0.00,in,lb,true,,USD 824.10
Menu Board PC,false,,,,USD 285.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 189.00
"TouchWo - 49"" Touch Screen",false,,,,USD 1275.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 912.00
Acer UT222Q bmip 21.5” Full HD (1920 x 1080) 10 Point Touch Monitor,false,,,,USD 350.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 234.73
ViewSonic TD2230 22 Inch 1080p 10-Point Multi Touch Screen,false,,,,USD 400.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 265.99
Travel,false,,,,USD 0.00,0.00,0.00,0.00,0.00,,,false,,USD 0.00
Motorolla Q11 mesh WiFi,false,,,,USD 0.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 0.00
Pick & Place Fixtures,false,,,,USD 1750.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 0.00
Lift + Learn Display Installation,false,,,Installation procedure for installing Lift + Learn Stations,USD 135.00,0.00,0.00,0.00,0.00,,,false,,USD 0.00
"RF Estone -- 15"" Tablet",false,Estone,Estone,,USD 500.00,18.00,5.00,13.00,20.00,in,lb,false,,USD 275.00
MeLE Mini PC,false,MeLe,,Stick computer,USD 285.00,4.00,5.50,0.07,2.50,in,oz,false,,USD 180.00
"PO-NH-E- 22"" Touch Screen",false,,,,USD 645.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 390.00
"PO-NH-E- 27"" Touch Screen",false,,,,USD 785.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 490.00
"NH-E- 27"" Lift + Learn - 10 SKU",false,,,"'- 22"" display
- 1 NFC reader w/ 10 featured products
- Misc. electronic components",USD 1735.00,0.00,0.00,0.00,0.00,in,lb,true,,USD 1237.82
"NH-E- 22"" Lift + Learn - 16 SKU",true,,,"'- 22"" display
- 1 NFC reader w/ 16 featured products
- Misc. electronic components",USD 1975.00,0.00,0.00,0.00,0.00,in,lb,true,,USD 1407.82
"NH-E-22"" Lift + Learn - 8 SKU",true,,,"'- 22"" display
- 1 NFC reader w/ 8 featured products
- Misc. electronic components",USD 1465.00,0.00,0.00,0.00,0.00,in,lb,true,,USD 1039.10
"NH-E- 22"" Pick & Place -- 24 SKU",false,,,"'- 22"" display
- 1 NFC reader w/ 24 featured products
- Misc. electronic components",USD 1050.00,0.00,0.00,0.00,0.00,in,lb,true,,USD 741.54
"NH-E- 27"" Pick & Place -- 24 SKU",false,,,"'- 27"" display
- 1 NFC reader w/ 24 featured products
- Misc. electronic components",USD 1195.00,0.00,0.00,0.00,0.00,in,lb,true,,USD 841.54
"NH-E- 22"" Lift + Learn - 20 SKU",true,,,"'- 22"" display
- 1 NFC reader w/ 20 featured products
- Misc. electronic components",USD 2300.00,0.00,0.00,0.00,0.00,in,lb,true,,USD 1592.18
Service -- Display Installation,false,,,,USD 150.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 150.00
"PO-E- 22"" Touch Screen",false,,,,USD 585.00,0.00,0.00,0.00,0.00,in,lb,false,,USD 390.00
